appid,name,price_twd_original,price_usd_original,lowest_discount_percent,lowest_price_twd,lowest_price_usd,is_free,release_date,coming_soon,developer,publisher,header_image,genres,categories,recommendations_total,review_count,review_positive,review_negative,review_score,review_score_desc,positive_ratio,has_reviews,source_appdetails,source_html_fallback,fetched_at
3443820,兔兔秘密花園2,408,24.99,,,,False,2026-04-15,False,qureate,qureate,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3443820/afbf380099265d4a14b4c3e837c144bde5d2968c/header_tchinese.jpg?t=1776595176,冒險|休閒|獨立製作,單人|Steam 成就|完全支援控制器|自訂音量控制|遊玩無需快速反應|Steam 雲端|親友同享,,214,201,13,8,Very Positive,0.9393,True,True,False,2026-04-24T00:41:37Z
3830690,精靈忍者逃走中  3D,299,14.99,,,,False,2026-04-16,False,Barance Studio,Mango Party| Mango Party News,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3830690/6d5c8b6d6c036f5e9549a45d91b7065076bf5add/header_tchinese.jpg?t=1776391686,角色扮演|模擬,單人|Steam 成就|Steam 雲端|親友同享,,112,102,10,8,Very Positive,0.9107,True,True,False,2026-04-24T00:41:37Z
4090250,鄰家的人妻 - 在丈夫身旁忘我地中出SEX,220,9.99,,,,False,2026-02-19,False,AibanWork ,Mango Party|Mango Party News,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4090250/1ffacf240a3068eaed155720f1b74a5141ff7490/header_tchinese.jpg?t=1772271906,休閒,單人|Steam 雲端|親友同享,,684,596,88,8,Very Positive,0.8713,True,True,False,2026-04-24T00:41:37Z
3478650,FreshWomen - Season 2,248,13.99,,,,False,2025-10-23,False,Pantsu Interactive,OppaiMan Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3478650/header_tchinese.jpg?t=1765821149,冒險|獨立製作,單人|Steam 成就|鏡頭舒適度|自訂音量控制|只需滑鼠選項|朗讀遊戲選單|遊玩無需快速反應|隨時儲存|立體聲|字幕選項|只需觸控選項|Steam 雲端|親友同享,,2283,1885,398,8,Very Positive,0.8257,True,True,False,2026-04-24T00:41:37Z
2696050,YARISUTEMESUBUTA ~ 一次性交易大師 ~,670,24.99,,,,False,2024-08-30,False,にゅう工房,072 Project|072 News,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2696050/header_tchinese.jpg?t=1774540455,冒險|獨立製作|角色扮演,單人|Steam 成就|Steam 雲端|親友同享,,4022,3502,520,8,Very Positive,0.8707,True,True,False,2026-04-24T00:41:37Z
2755480,社群審查 DX,319,17.99,,,,False,2025-09-18,False,Tiramisu|Big S Studio,Mango Party|Mango Party News,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2755480/4c49a2fcdff935e2d11cd4d08607df529789b923/header_tchinese.jpg?t=1776625058,休閒|獨立製作|模擬,單人|Steam 雲端|親友同享,,1235,1020,215,8,Very Positive,0.8259,True,True,False,2026-04-24T00:41:37Z
4142300,MELFIAS－蒼紅界域－,329,11.99,,,,False,2026-04-16,False,dorgel,akaeroCore,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4142300/ddf418feade5028fb64cf2461fd2a105f4799f01/header_tchinese.jpg?t=1776682150,冒險|獨立製作|角色扮演,單人|Steam 雲端|親友同享,,80,75,5,8,Very Positive,0.9375,True,True,False,2026-04-24T00:41:37Z
2458860,夏色四葉草,329,17.99,,,,False,2024-06-26,False,Connection,Mango Party|Mango Party News,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2458860/header_tchinese.jpg?t=1772721391,冒險|休閒|獨立製作|角色扮演|模擬|策略,單人|Steam 成就|Steam 交換卡片|Steam 雲端|親友同享,,8550,8376,174,9,Overwhelmingly Positive,0.9796,True,True,False,2026-04-24T00:41:37Z
3734630,背德浴場,230,8.99,,,,False,2026-03-18,False,奶油貓工作室|バター貓スタジオ,LewdLoco,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3734630/5b09e73473ad32a0955e345eef589a12da94cb6c/header_tchinese.jpg?t=1773973134,冒險|休閒|獨立製作|角色扮演|模擬,單人|Steam 成就|Steam 雲端|親友同享,,331,275,56,8,Very Positive,0.8308,True,True,False,2026-04-24T00:41:37Z
3181220,AV導演生活！,549,29.99,,,,False,2025-09-28,False,TeamKRAMA,Mango Party|Mango Party News,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3181220/header_tchinese.jpg?t=1759111560,休閒|獨立製作|模擬,單人|Steam 雲端|親友同享,,620,537,83,8,Very Positive,0.8661,True,True,False,2026-04-24T00:41:37Z
