appid,name,missing_fields,source_appdetails,source_html_fallback
4432340,喵喵女僕的性服務生活！！,review_count,True,False
4546680,Message Salon,review_count,True,False
4462970,狼娘的露出NTR！！,review_count,True,False
4315560,Sex Queen,review_count,True,False
2511120,新・他の男の精液で孕んでもいいですか…?　２ ～ 全身汗だく浮気セックスで妊娠したウェディングプランナーの婚約者 ～,review_count,True,False
4257390,Femdom Overtime,review_count,True,False
3576330,Hentai Tavern,"price_twd_original,review_count",True,False
3809390,Ardor for Depravity,"price_twd_original,release_date,review_count",True,False
4127970,Femdom Hero 3,review_count,True,False
4367840,My Swimsuit Bully,review_count,True,False
3576130,CYBER RONIN: Lust,"price_twd_original,review_count",True,False
4188980,The Femdom Project 4,review_count,True,False
4185300,The Femdom Project 2,review_count,True,False
4379250,Valentine's Day Bikini Femdom,review_count,True,False
2359960,Sex Novel - Swingers Yacht,review_count,True,False
4187240,The Femdom Project 3,review_count,True,False
4191850,The Femdom Project 5,review_count,True,False
3982390,Yandere Goth BDSM 10,review_count,True,False
3972270,Yandere Goth BDSM 7,review_count,True,False
3973400,Yandere Goth BDSM 8,review_count,True,False
3956910,Yandere Goth Delinquent Trouble 4,review_count,True,False
4002930,My Ex-Future Family 3: Endgame,"price_twd_original,release_date,review_count",True,False
3257270,Haunted by Femboy,"price_twd_original,review_count",True,False
4198330,Femboy Ghost,"price_twd_original,release_date,review_count",True,False
4078180,Xeno Girlfriend 4,review_count,True,False
3999940,The Suburbs,"price_twd_original,review_count",True,False
4170210,Solomon Islander Dominatrixes Are the Best,review_count,True,False
4379760,MILK ME DARLING: THE ANALIZED BREAST FRIEND,review_count,True,False
3979270,Crooked Knobs,"price_twd_original,review_count",True,False
4060650,Serena: Yellow Creek,"price_twd_original,review_count",True,False
4217280,Reclaim the Fame,"price_twd_original,review_count",True,False
3995260,My Sadistic Girlfriends 2,review_count,True,False
4203040,Christmas Hentai Party,review_count,True,False
4110200,Nauruan Dominatrixes Are the Best,review_count,True,False
4616530,Dolly's Breeding Party,"price_twd_original,review_count",True,False
3989110,Yandere Goth BDSM 12,review_count,True,False
4012550,My Giant Sexy Sensei Bullies Me 2,review_count,True,False
4064490,Monstrous Dungeon,"price_twd_original,release_date,review_count",True,False
4503970,Dual Cultivation Trainer,"price_twd_original,review_count",True,False
4583700,Hentai Futa Furry,"price_twd_original,review_count",True,False
3952290,My Goth Bully Likes Sitting on My Face,review_count,True,False
2339940,Sexdew City,"price_twd_original,review_count",True,False
3880100,SeductVille,"price_twd_original,review_count",True,False
4016890,Malaysian Dominatrixes Are the Best,review_count,True,False
3989290,The Party Mascot,"price_twd_original,review_count",True,False
3981030,Yandere Goth BDSM 9,review_count,True,False
4059590,Indonesian Dominatrixes Are the Best,review_count,True,False
4251700,Away From Home VN,"price_twd_original,review_count",True,False
3941560,Yandere Goth Delinquent Trouble,review_count,True,False
4153870,My Giant Sexy Sensei Bullies Me 9,review_count,True,False
3949670,My Giant Goth Girlfriend Is a Sadist 2,review_count,True,False
4611030,Temptation Loop,"price_twd_original,review_count",True,False
657580,What!? My Neighbors Are Demons!!?,"price_twd_original,review_count",True,False
