appid,name,price_twd_original,price_usd_original,lowest_discount_percent,lowest_price_twd,lowest_price_usd,is_free,release_date,coming_soon,developer,publisher,header_image,genres,categories,review_count,review_positive,review_negative,review_score,review_score_desc,positive_ratio,has_reviews,source_appdetails,source_html_fallback,fetched_at,est_sales_low
3443820,兔兔秘密花園2,408,,,,,False,2026-04-15,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3443820/afbf380099265d4a14b4c3e837c144bde5d2968c/header_tchinese.jpg?t=1776595176,,,214,201,13,8,Very Positive,0.9393,True,True,False,2026-04-23T03:49:38Z,42800
3830690,精靈忍者逃走中  3D,299,,,,,False,2026-04-16,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3830690/6d5c8b6d6c036f5e9549a45d91b7065076bf5add/header_tchinese.jpg?t=1776391686,,,112,102,10,8,Very Positive,0.9107,True,True,False,2026-04-23T03:49:38Z,22400
4090250,鄰家的人妻 - 在丈夫身旁忘我地中出SEX,220,,,,,False,2026-02-19,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4090250/1ffacf240a3068eaed155720f1b74a5141ff7490/header_tchinese.jpg?t=1772271906,,,684,596,88,8,Very Positive,0.8713,True,True,False,2026-04-23T03:49:38Z,136800
3478650,FreshWomen - Season 2,248,,,,,False,2025-10-23,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3478650/header_tchinese.jpg?t=1765821149,,,2283,1885,398,8,Very Positive,0.8257,True,True,False,2026-04-23T03:49:38Z,456600
2696050,YARISUTEMESUBUTA ~ 一次性交易大師 ~,670,,,,,False,2024-08-30,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2696050/header_tchinese.jpg?t=1774540455,,,4022,3502,520,8,Very Positive,0.8707,True,True,False,2026-04-23T03:49:38Z,804400
2755480,社群審查 DX,319,,,,,False,2025-09-18,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2755480/4c49a2fcdff935e2d11cd4d08607df529789b923/header_tchinese.jpg?t=1776625058,,,1235,1020,215,8,Very Positive,0.8259,True,True,False,2026-04-23T03:49:38Z,247000
4142300,MELFIAS－蒼紅界域－,329,,,,,False,2026-04-16,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4142300/ddf418feade5028fb64cf2461fd2a105f4799f01/header_tchinese.jpg?t=1776682150,,,80,75,5,8,Very Positive,0.9375,True,True,False,2026-04-23T03:49:38Z,16000
2458860,夏色四葉草,329,,,,,False,2024-06-26,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2458860/header_tchinese.jpg?t=1772721391,,,8550,8376,174,9,Overwhelmingly Positive,0.9796,True,True,False,2026-04-23T03:49:38Z,1710000
3734630,背德浴場,230,,,,,False,2026-03-18,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3734630/5b09e73473ad32a0955e345eef589a12da94cb6c/header_tchinese.jpg?t=1773973134,,,331,275,56,8,Very Positive,0.8308,True,True,False,2026-04-23T03:49:38Z,66200
3181220,AV導演生活！,549,,,,,False,2025-09-28,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3181220/header_tchinese.jpg?t=1759111560,,,620,537,83,8,Very Positive,0.8661,True,True,False,2026-04-23T03:49:38Z,124000
4257850,妖狐的深夜特訓 未來篇,159,,,,,False,2026-04-15,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4257850/3ae09e95bf61d04cdc5cfe761c445075e1ad9bdb/header_tchinese.jpg?t=1776304865,,,70,63,7,8,Very Positive,0.9,True,True,False,2026-04-23T03:49:38Z,14000
2897760,極品采花郎,328,,,,,False,2025-10-09,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2897760/header_tchinese.jpg?t=1776480596,,,5058,4800,258,8,Very Positive,0.949,True,True,False,2026-04-23T03:49:38Z,1011600
3028830,外族娘！請好好保護我吧！,260,,,,,False,2026-04-15,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3028830/1229d7badaba6db4014e1d0166a8618bbf13b2a0/header_tchinese.jpg?t=1776310131,,,71,68,3,8,Very Positive,0.9577,True,True,False,2026-04-23T03:49:38Z,14200
3192340,變態女友：我與女友的心動動直播,220,,,,,False,2026-03-26,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3192340/2de1461b8ad38f3bb53eccb7c5c8af0e65899301/header_tchinese.jpg?t=1774592203,,,104,96,8,8,Very Positive,0.9231,True,True,False,2026-04-23T03:49:38Z,20800
1350650,《新生也瘋狂》第1季,248,,,,,False,2022-08-19,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1350650/header_tchinese.jpg?t=1772132737,,,18500,17615,885,9,Overwhelmingly Positive,0.9522,True,True,False,2026-04-23T03:49:38Z,3700000
4327380,色慾出口 Exit Lust,102,,,,,False,2026-03-16,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4327380/71b8cbbf25ea0ab4ee47eead3049c51178fa6b68/header_tchinese.jpg?t=1774015002,,,380,316,64,8,Very Positive,0.8316,True,True,False,2026-04-23T03:49:38Z,76000
3987800,女鬼的深入治療,199,,,,,False,2026-03-31,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3987800/7dd7726494db7e0f66ff2f0e0e7c099f1c557e3b/header_tchinese.jpg?t=1774944824,,,290,224,66,6,Mostly Positive,0.7724,True,True,False,2026-04-23T03:49:38Z,58000
3436170,今日起你就進性處理科啦！,152,,,,,False,2026-03-10,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3436170/c6acf66ebd02de43ff893de2feda926eda7d32d7/header_tchinese.jpg?t=1776758180,,,266,216,50,8,Very Positive,0.812,True,True,False,2026-04-23T03:49:38Z,53200
2710480,隔壁的美豔人妻,319,,,,,False,2024-11-27,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2710480/59e7243abae2073f297731201bb682aa9cf65c31/header_tchinese.jpg?t=1775016631,,,1564,1398,166,8,Very Positive,0.8939,True,True,False,2026-04-23T03:49:38Z,312800
2273420,管理員的窺視,249,,,,,False,2023-12-15,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2273420/8e02766e9327619e500908fd5cc1ee797eab7705/header_tchinese.jpg?t=1769048992,,,6270,5867,403,8,Very Positive,0.9357,True,True,False,2026-04-23T03:49:38Z,1254000
3044740,請成為最能幹的VTuber吧！,260,,,,,False,2025-06-24,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3044740/5c64927906d8cac6eecd09f59ccf88df4a2168e9/header_tchinese.jpg?t=1769150542,,,1336,1215,121,8,Very Positive,0.9094,True,True,False,2026-04-23T03:49:38Z,267200
1793250,帶我去地下城吧！！,269,,,,,False,2023-06-28,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1793250/header_tchinese.jpg?t=1736151155,,,3838,3612,226,8,Very Positive,0.9411,True,True,False,2026-04-23T03:49:38Z,767600
4414250,Sisters in Sin 🔞,268,,,,,False,2026-04-18,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4414250/159edb4b9823484bda5390174267cdc203511f72/header.jpg?t=1776590122,,,94,85,9,8,Very Positive,0.9043,True,True,False,2026-04-23T03:49:38Z,18800
3241760,妖狐的深夜直播,298,,,,,False,2025-06-19,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3241760/header_tchinese.jpg?t=1751264338,,,625,540,85,8,Very Positive,0.864,True,True,False,2026-04-23T03:49:38Z,125000
3108980,Part-Time Witch,159,,,,,False,2026-04-17,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3108980/db335be4a86f52cba407f4d3ed3fa0c1d0bede57/header.jpg?t=1776508380,,,82,68,14,8,Very Positive,0.8293,True,True,False,2026-04-23T03:49:38Z,16400
2289720,暴食的怪獸公主：惑星美食之旅,329,,,,,False,2024-12-12,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2289720/header_tchinese.jpg?t=1766072008,,,3000,2929,71,9,Overwhelmingly Positive,0.9763,True,True,False,2026-04-23T03:49:38Z,600000
2962480,異世界情趣用品店,249,,,,,False,2025-06-25,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2962480/a82289bdbdb5ef937ae9a0326fb71a579121823d/header_tchinese.jpg?t=1750899748,,,708,635,73,8,Very Positive,0.8969,True,True,False,2026-04-23T03:49:38Z,141600
3782910,Goblin Nest,138,,,,,False,2026-03-26,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3782910/b122bee2d0387d710548e5f98586e7efff5b9bc9/header.jpg?t=1776129411,,,624,593,31,9,Overwhelmingly Positive,0.9503,True,True,False,2026-04-23T03:49:38Z,124800
3192290,女大學生深夜露出 DX,149,,,,,False,2026-03-19,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3192290/06195a4e1a54bad2fd9e4aaacd6f1bed0306265e/header_tchinese.jpg?t=1773972352,,,132,110,22,8,Very Positive,0.8333,True,True,False,2026-04-23T03:49:38Z,26400
3668560,幸福島幻想,308,,,,,False,2025-11-05,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3668560/0631204f5032fc62a32b73b659429468d2cb75fe/header.jpg?t=1770950445,,,939,846,93,8,Very Positive,0.901,True,True,False,2026-04-23T03:49:38Z,187800
3910610,Growing Things Up - Season 1,238,,,,,False,2026-01-18,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3910610/bd60f982031a3911200d5d78863f03be3255589f/header.jpg?t=1768742693,,,483,451,32,8,Very Positive,0.9337,True,True,False,2026-04-23T03:49:38Z,96600
1073440,コイカツ！ / Koikatsu Party,1159,,,,,False,2019-06-10,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1073440/header.jpg?t=1617946786,,,5729,5228,501,8,Very Positive,0.9126,True,True,False,2026-04-23T03:49:38Z,1145800
2651440,墮落精靈·芙蕾雅,188,,,,,False,2025-10-21,False,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2651440/c98d1c63447edfd3d90aaa4fe851eddeef818202/header_tchinese.jpg?t=1774242525,,,591,522,69,8,Very Positive,0.8832,True,True,False,2026-04-23T03:49:38Z,118200
